bar,address
Finkbine Golf Course,"1380 Melrose Avenue, Iowa City, Iowa"
Mosley's,"525 S Gilbert ST, Iowa City, Iowa"
"American Legion, Roy L. Chopek Post 17","3016 Muscatine Avenue, Iowa City, Iowa"
"American Legion, Roy L. Chopek Post 17","3016 Muscatine Avenue, Iowa City, Iowa"
Wild Culture Kombucha,"210 N. Linn Street, Iowa City, Iowa"
Wild Culture Kombucha,"3467 Dolphin Drive Unit B, Iowa City, Iowa"
"Deadwood, The","6 South Dubuque, Iowa City, Iowa"
"Deadwood, The","6 South Dubuque, Iowa City, Iowa"
El Patron Mexican Kitchen & Tequila Bar,"219 Iowa Ave, Iowa City, Iowa"
"Deadwood, The","6 South Dubuque, Iowa City, Iowa"
"Deadwood, The","6 South Dubuque, Iowa City, Iowa"
Big Grove Brewery & Tap Room,"1225 S Gilbert St, Iowa City, Iowa"
"American Legion, Roy L. Chopek Post 17","3016 Muscatine Avenue, Iowa City, Iowa"
"American Legion, Roy L. Chopek Post 17","3016 Muscatine Avenue, Iowa City, Iowa"
Sumo Sushi & Bar,"122 E. Washington Street, Iowa City, Iowa"
Johnson County Fairgrounds,"4261 Oak Crest Hill Rd, Iowa City, Iowa"
"American Legion, Roy L. Chopek Post 17","3016 Muscatine Avenue, Iowa City, Iowa"
Willow Creek Theatre Company,"327 South Gilbert StreetLongfellow, Iowa City, Iowa"
Marco's Island,"121 N. Linn St, Iowa City, Iowa"
Studio 13,"13 South Linn Street, Iowa City, Iowa"
Big Grove Brewery & Tap Room,"1225 S Gilbert St, Iowa City, Iowa"
OYAMA SUSHI,"1853 LOWER MUSCATINE RD., Iowa City, Iowa"
Martini's,"127 E. College St., Iowa City, Iowa"
Martini's,"127 E. College St., Iowa City, Iowa"
Martini's,"127 E. College St., Iowa City, Iowa"
Hy-Vee Drugstore,"310 N 1st Ave, Iowa City, Iowa"
Hy-Vee Drugstore,"310 N 1st Ave, Iowa City, Iowa"
Hy-Vee Drugstore,"310 N 1st Ave, Iowa City, Iowa"
Smokin' Joe's Tobacco and Liquor Outlet # 18,"1901 Broadway St. Ste 1, Iowa City, Iowa"
Hy-Vee Food Store #2,"812 S 1st Ave, Iowa City, Iowa"
Sanctuary,"405 S Gilbert Street, Iowa City, Iowa"
Studio 13,"13 South Linn Street, Iowa City, Iowa"
Hawkeye Smoke and Liquor,"108 E College St, Iowa City, Iowa"
Hy-Vee Food & Drugstore #1 & Regal Liquor,"1720 Waterfront Dr, Iowa City, Iowa"
Hy-Vee Food & Drugstore #1 & Regal Liquor,"1720 Waterfront Dr, Iowa City, Iowa"
Hy-Vee Food & Drugstore #1 & Regal Liquor,"1720 Waterfront Dr, Iowa City, Iowa"
Hy-Vee Food & Drugstore #1 & Regal Liquor,"1720 Waterfront Dr, Iowa City, Iowa"
Hy-Vee Food & Drugstore #1 & Regal Liquor,"1720 Waterfront Dr, Iowa City, Iowa"
KIRKWOOD LIQUOR AND TOBACCO,"300 KIRKWOOD AVE, Iowa City, Iowa"
Szechuan House,"320 E Burlington St, Iowa City, Iowa"
